source,target,weight
1084949174,1050463558,1
1084949174,1002148361,1
1084949174,1000741574,1
1084949174,1019020642,1
1084949174,1044910984,1
1084949174,1032965820,1
1084949174,1045532631,1
1084949174,1062570867,1
1084949174,1093616433,1
1084949174,1046494658,1
1084949174,1071753837,1
1084949174,1005890294,1
1084949174,1088712592,1
1084949174,1087450175,1
1084949174,1059839736,1
1084949174,1069823047,1
1084949174,1026118838,1
1084949174,1073919686,1
1084949174,1060428001,1
1084949174,1050607585,1
1084949174,1001691761,1
1084949174,1070498956,1
1084949174,1071870955,1
1084949174,1035595201,1
1084949174,1051971605,1
1084949174,1015062812,1
1084949174,1034483550,1
1084949174,1029385317,1
1084949174,1038596028,1
1084949174,1051729820,1
1084949174,1004123432,1
1084949174,1012378934,1
1084949174,1079898450,1
1084949174,1063959866,1
1084949174,1054238235,1
1084949174,1082653249,1
1084949174,1061759881,1
1084949174,1072398557,1
1084949174,1045545909,1
1084949174,1040044735,1
1084949174,1051921689,1
1084949174,1068393016,1
1084949174,1039859493,1
1084949174,1014561778,1
1084949174,1030635339,1
1084949174,1006065364,1
1050463558,1032965820,1
1050463558,1045532631,1
1050463558,1016676496,1
1050463558,1007172640,1
1050463558,1058107871,1
1050463558,1026240394,1
1050463558,1048513307,1
1050463558,1078326898,1
1050463558,1074771837,1
1050463558,1038596028,1
1050463558,1000373575,1
1002148361,1000741574,1
1002148361,1062570867,1
1002148361,1093616433,1
1002148361,1044442132,1
1002148361,1006398548,1
1002148361,1054723108,1
1002148361,1034569772,1
1002148361,1072398557,1
1002148361,1014333778,1
1002148361,1057217762,1
1002148361,1073773347,1
1000741574,1019020642,1
1000741574,1077572316,1
1000741574,1063635847,1
1000741574,1083119109,1
1000741574,1059839736,1
1000741574,1026240394,1
1000741574,1026118838,1
1000741574,1048513307,1
1000741574,1073919686,1
1000741574,1078326898,1
1000741574,1029403491,1
1000741574,1070498956,1
1000741574,1048185426,1
1000741574,1035595201,1
1000741574,1094510316,1
1000741574,1073044045,1
1000741574,1002435873,1
1000741574,1057817191,1
1000741574,1036936480,1
1000741574,1029430034,1
1000741574,1060716653,1
1000741574,1095293823,1
1019020642,1044910984,1
1019020642,1046494658,1
1019020642,1077572316,1
1019020642,1071753837,1
1019020642,1007172640,1
1019020642,1083119109,1
1019020642,1088712592,1
1019020642,1006398548,1
1019020642,1011583897,1
1019020642,1073508752,1
1019020642,1003972963,1
1019020642,1026470516,1
1019020642,1035678040,1
1019020642,1002435873,1
1044910984,1048185426,1
1044910984,1011061835,1
1044910984,1088130850,1
1032965820,1016676496,1
1032965820,1005890294,1
1032965820,1074529510,1
1032965820,1083694167,1
1032965820,1085392303,1
1032965820,1072099258,1
1032965820,1045545909,1
1032965820,1038269410,1
1045532631,1052089370,1
1016676496,1083694167,1
1062570867,1001691761,1
1062570867,1000151650,1
1046494658,1063635847,1
1046494658,1087450175,1
1077572316,1078442583,1
1071753837,1044442132,1
1071753837,1045639877,1
1071753837,1022604478,1
1071753837,1016359538,1
1071753837,1081186287,1
1071753837,1074910837,1
1071753837,1053680146,1
1071753837,1003211089,1
1071753837,1039859493,1
1071753837,1007459129,1
1071753837,1014333778,1
1071753837,1047555918,1
1071753837,1074073560,1
